fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,acidity_ratio,sulfur_ratio,alcohol_density_ratio
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,8.26,14.872798434442268,0.45204860207394415,10.246107483676543
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,11.19,24.228028503562946,0.3999600039996001,9.627920970815364
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,8.57,13.197969543147208,0.31480898501879595,10.025062656641603
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,7.999999999999999,18.67007672634271,0.19564792069737616,9.435856253764305
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,9.600000000000001,21.945137157107233,0.3653775888925213,9.218436873747494
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,8.88,11.143270622286542,0.17856983419790895,9.329855537720707
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,7.785,9.51086956521739,0.2407362826614322,9.833433674493277
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,7.975,9.917355371900827,0.36360330879011,10.941577996386268
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,7.975,9.917355371900827,0.36360330879011,10.941577996386268
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,7.375,9.34844192634561,0.3999733351109926,10.740815097370005
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,8.755,11.3314447592068,0.4210304720804168,10.540052198353745
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,8.610000000000001,11.143270622286542,0.19148732460292975,9.537195060736874
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,9.235000000000001,12.278106508875739,0.25580800446501245,9.222133119486767
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,9.850000000000001,21.411192214111924,0.21428061236637225,10.514720608852393
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,7.585,8.651399491094146,0.4666511116296123,10.736504113987557
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,7.57,8.921438082556591,0.1499981250234372,10.142598915444868
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,6.8500000000000005,13.747228381374724,0.1999866675554963,9.238802972484434
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,8.370000000000001,14.770459081836329,0.28766729222887355,9.127382146439318
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,7.08,20.930232558139537,0.2950771298831167,10.342403855808817
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,7.6000000000000005,12.522686025408348,0.4749881252968676,10.139544222467624
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,8.45,15.682281059063136,0.29031321570271923,9.63275135460566
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,7.7,11.272141706924316,0.333319445023124,9.019843656043294
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,8.68,15.163147792706335,0.29999785715816313,9.5343235648334
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,8.45,15.682281059063136,0.29031321570271923,9.63275135460566
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,7.575,8.762886597938143,0.3478109647406634,10.737581535373806
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,8.56,8.435072142064373,0.4999500049995001,9.83244707534865
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,8.825,14.835164835164834,0.37141795948687184,9.025270758122744
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,9.21,13.58428805237316,0.21999560008799826,10.228640192539109
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,8.825,14.835164835164834,0.37141795948687184,9.025270758122744
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,8.895,14.0625,0.1846125444223935,9.23046051971506
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,7.930000000000001,14.663951120162933,0.13888503097136193,9.437751004016064
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,8.895,14.0625,0.1846125444223935,9.23046051971506
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,7.14,9.8256735340729,0.23437133794784454,9.328919650917847
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,8.549999999999999,13.90374331550802,0.2553137167294313,9.5343235648334
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,9.11,13.52657004830918,0.10185090878788158,9.835407466880772
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,10.85,32.47588424437299,0.4782504728158084,9.711653984781737
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,8.549999999999999,13.90374331550802,0.2553137167294313,9.5343235648334
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,10.110000000000001,23.44139650872818,0.20967403751552396,10.53582179409994
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,9.12,15.341959334565619,0.27499312517187074,10.022048506714773
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,9.39,15.970961887477314,0.2499955357940037,10.941577996386268
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,7.995,10.488505747126437,0.2307514806553342,9.218436873747494
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,5,8.47,15.568862275449101,0.20588033450652443,9.538152610441767
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,9.53,6.1607813673929375,0.24997916840263312,10.939381774387797
8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,5,9.43,6.08564988730278,0.24997916840263312,10.939381774387797
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,8.75,13.536379018612521,0.18748828198237608,10.540052198353745
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,9.305,10.723860589812332,0.22387892627666958,9.430176565008026
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,6.1899999999999995,11.177644710578841,0.17171543721780588,13.082419241219684
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,8.990000000000002,7.588856868395774,0.4482604048136271,9.94075710412692
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,9.254999999999999,11.26005361930295,0.25396422279011444,9.633718013045659
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,7.9750000000000005,17.30769230769231,0.2888824692784605,9.22583233052547
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,9.254999999999999,11.26005361930295,0.25396422279011444,9.633718013045659
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,6.77,16.11253196930946,0.14999250037498124,9.44343982318666
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5,9.32,12.071535022354693,0.22694874504436138,9.430176565008026
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,6.499999999999999,8.516886930983846,0.22340187870341804,10.05631536604988
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,7.49,14.052953156822811,0.39998666711109626,10.241992167888341
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,8.1,22.054380664652566,0.4545041359876375,10.343442458324965
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,8.129999999999999,12.479201331114808,0.252522701790891,10.15075376884422
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,8.129999999999999,12.479201331114808,0.252522701790891,10.15075376884422
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,7.949999999999999,16.473317865429234,0.21874829102897633,10.528426752231024
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,7.949999999999999,16.473317865429234,0.2248044588801637,10.528426752231024
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,7.949999999999999,16.473317865429234,0.21874829102897633,10.528426752231024
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,7.779999999999999,10.42584434654919,0.5454297531930367,9.328919650917847
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,7.579999999999999,11.314475873544094,0.20929989186172251,9.329855537720707
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,8.579999999999998,7.991587802313354,0.34998250087495625,9.639522040365499
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,8.299999999999999,11.160058737151246,0.4499775011249437,9.232313095835423
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,8.37,14.689265536723163,0.5483694074384697,10.036130068245685
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,8.15,12.351945854483926,0.28925380781977006,9.417893998597336
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,8.91,12.361331220285262,0.14583181425193487,9.537195060736874
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,7.539999999999999,10.608424336973478,0.17821605726675974,10.245078344716752
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,7.88,13.248638838475499,0.40475226780314755,9.039775010044194
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,7.5,10.776545166402535,0.24999431831094748,10.449110820858033
7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,4,8.815,8.91647855530474,0.4999375078115236,9.125551544324107
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,8.59,19.002375296912113,0.3333148158435642,9.22583233052547
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,8.07,11.916264090177135,0.571414966310326,11.545025599839374
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,7.44,13.77245508982036,0.387747188832881,9.54006828680458
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,7.89,19.16010498687664,0.19999428587754636,9.537195060736874
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,8.44,14.39539347408829,0.21052077576905873,10.529482551143202
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,7.805,8.6848635235732,0.34998250087495625,9.629852542882936
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,9.55,14.402618657937808,0.23808956929596917,9.529541578894573
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,9.55,14.402618657937808,0.23808956929596917,9.529541578894573
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,7.949999999999999,9.84952120383037,0.38094331087355066,9.326113116726836
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,7.61,11.129296235679215,0.16922816572052737,9.327048440477386
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,7.53,10.789049919484702,0.12903017693263014,9.327983951855568
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,9.780000000000001,28.617363344051448,0.30587875436759565,9.728211814261357
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,5,8.27,18.925831202046037,0.2089521051924598,9.22583233052547
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,8.73,15.768463073852296,0.10489437136803238,9.530497592295346
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,9.049999999999999,16.367265469061874,0.1653530287163093,9.422614274258219
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,7.0200000000000005,17.25067385444744,0.4285626823942369,9.825546420693804
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,8.360000000000001,13.79310344827586,0.2499910717474376,9.735046166198314
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,8.360000000000001,13.79310344827586,0.2499910717474376,9.735046166198314
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5,8.18,12.564543889845096,0.2727223141397429,10.23274478330658
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,6,12.4,38.205980066445186,0.4444279841487352,10.119226530407774
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,8.05,6.324472960586618,0.3870842876036257,11.459589867310012
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,7,10.39,29.906542056074766,0.3749843756510145,10.331511108882092
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,7.79,16.241299303944317,0.3783681522121024,9.23555689404206
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,13.840000000000002,42.524916943521596,0.32141709224670545,10.806483890334201
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,13.840000000000002,42.524916943521596,0.32141709224670545,10.806483890334201
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,8.52,17.687074829931973,0.1894716897716866,9.432069034718042
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6,10.829999999999998,18.267419962335214,0.2631440450502605,12.451674448963198
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6,8.965,11.019283746556475,0.16128772116578766,10.031599538546422
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,5,9.03,14.360770577933451,0.4307626036522515,10.141580479967867
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,8.615,10.597826086956522,0.24389649032950417,9.825546420693804
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,5,7.98,14.256619144602851,0.21487425723754347,10.527371165029075
8.7,0.625,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,5,9.485,13.897763578274759,0.2653007081488133,11.041959445894399
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5,9.045,11.15702479338843,0.2682861393624546,9.13012942710946
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5,8.18,15.274949083503055,0.22726756210086135,9.741890127548457
7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,6,8.51,22.87390029325513,0.4137859692074275,9.433962264150944
7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,5,8.190000000000001,13.935969868173258,0.22221913584533548,9.440594556593352
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5,7.45,11.129296235679215,0.4999500049995001,9.545340366742025
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,9.495,13.312693498452012,0.28570408199707154,10.018534288433603
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,6,8.38,17.865429234338748,0.46031015380708246,10.540581237765396
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,6,8.440000000000001,20.99737532808399,0.24489296136813535,9.937264742785446
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,6,9.069999999999999,22.911051212938006,0.3103394769055706,9.619238476953907
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6,9.29,8.191808191808192,0.1891840761060512,9.028439584691778
7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,6,7.83,11.410459587955627,0.36841135759585275,9.029345372460496
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,6,12.940000000000001,31.496062992125985,0.249989583767343,10.908181135851889
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,6,8.379999999999999,13.253012048192772,0.2568783772625939,9.842816250690504
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,7.96,11.043872919818456,0.2608582235554976,9.916858659721527
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,5,7.85,10.42584434654919,0.3137193388364934,9.5300195616191
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,7.96,11.043872919818456,0.2608582235554976,9.916858659721527
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,6,11.56,33.64485981308411,0.4324207453852599,10.0150225338007
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,7.699999999999999,11.813643926788686,0.47057439487073915,9.927797833935019
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5,11.93,31.623931623931625,0.23808390076663014,10.514720608852393
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,5,8.895,9.922680412371134,0.09302217416076557,9.539110352445025
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,5,8.8,14.010507880910684,0.14285594238703875,9.330323551542513
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,5,10.11,27.565982404692082,0.3845858010922237,9.218436873747494
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,5,7.295,9.482758620689655,0.21428188782343174,9.229534510433385
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,7,10.780000000000001,32.154340836012864,0.4242295688009455,10.503676286700344
7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,5,8.46,23.867069486404834,0.3999911113086376,9.335006273525723
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4,8.014999999999999,7.172131147540984,0.17910180445067983,9.441068648621503
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,5,8.549999999999999,15.355086372360844,0.2857061226822091,10.042681395932714
7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,5,8.5,21.29380053908356,0.4693781759555928,9.334537789822344
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,5,13.55,22.28163992869875,0.18517832672863968,10.901090109010902
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,8,8.71,22.50712250712251,0.40539444879868114,12.834653564624487
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6,7.48,12.754158964879853,0.25924965742009554,9.412235906678683
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,8.505,14.468864468864469,0.442615694824675,10.737581535373806
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,8.505,14.468864468864469,0.442615694824675,10.737581535373806
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6,7.48,12.754158964879853,0.25924965742009554,9.412235906678683
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,7,9.620000000000001,22.194513715710723,0.21276143060785943,10.509458512661395
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,6,12.1,43.67816091954023,0.3157728540603126,9.313038253554977
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,7,9.620000000000001,22.194513715710723,0.21276143060785943,10.509458512661395
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5,10.56,16.751269035532996,0.45069787749468315,9.79853022046693
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5,10.56,16.751269035532996,0.45069787749468315,9.79853022046693
